timestamp,score,type,readiness level,sleep readiness,heart rate variability readiness,resting heart rate readiness,data source
2026-05-13,36,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,LOW,HIGH,Fitbit App
2026-05-14,26,LOW,TYPE_UNSPECIFIED,VERY_HIGH,VERY_LOW,HIGH,Fitbit App
2026-05-15,66,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,HIGH,Fitbit App
2026-05-17,56,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,HIGH,Fitbit App
2026-05-18,55,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,MEDIUM,IGNORED,Fitbit App
2026-05-19,45,MEDIUM,TYPE_UNSPECIFIED,VERY_HIGH,LOW,IGNORED,Fitbit App
2026-05-20,90,HIGH,TYPE_UNSPECIFIED,VERY_HIGH,VERY_HIGH,IGNORED,Fitbit App
