sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
52720617140,2026-06-08T11:48:30Z,88,,88,,110,56,0.11952861952861953
52720617139,2026-06-07T10:46:30Z,76,,76,,82,56,0.14610673665791776
52702825218,2026-06-06T09:51:00Z,81,,81,,108,56,0.10245901639344263
52693975634,2026-06-05T08:00:00Z,77,,77,,93,55,0.06134969325153374
52686513876,2026-06-04T06:57:30Z,55,,55,,43,53,0.11831442463533225
52686513875,2026-06-03T10:57:30Z,78,,78,,60,53,0.11969111969111969
52671177954,2026-06-02T12:02:00Z,71,,71,,98,55,0.1349095966620306
52671177953,2026-06-01T10:14:30Z,78,,78,,124,55,0.10718002081165452
52671177952,2026-05-31T10:33:30Z,81,,81,,94,54,0.09523809523809523
52671177951,2026-05-30T09:09:00Z,78,,78,,128,53,0.115234375
52635156060,2026-05-29T07:42:00Z,79,,79,,84,54,0.08812729498164015
52628333599,2026-05-28T09:55:00Z,66,,66,,89,55,0.13009922822491732
52621915002,2026-05-27T07:49:30Z,71,,71,,69,58,0.09056603773584905
52621915001,2026-05-26T04:34:30Z,66,,66,,25,58,0.05476673427991886
52605088719,2026-05-25T06:49:30Z,50,,50,,21,58,0.12044374009508717
52605088718,2026-05-24T08:55:30Z,75,,75,,98,59,0.11722731906218145
52605088717,2026-05-23T07:53:30Z,70,,70,,37,58,0.07207207207207207
52573942801,2026-05-22T07:53:30Z,78,,78,,72,60,0.09692132269099202
52567186036,2026-05-21T08:15:00Z,60,,60,,92,59,0.14002478314745972
52567186035,2026-05-20T08:03:30Z,69,,69,,109,58,0.12485939257592801
52567186034,2026-05-19T09:30:00Z,79,,79,,101,58,0.10993249758919961
52567186033,2026-05-15T09:04:30Z,78,,78,,72,56,0.10698198198198199
52514179879,2026-05-14T10:10:30Z,83,,83,,101,56,0.1300893743793446
52514179878,2026-05-13T08:37:30Z,77,,77,,81,55,0.1319371727748691
52514179877,2026-05-12T08:36:30Z,75,,75,,101,54,0.09783845278725825
52477273535,2026-05-10T07:49:00Z,84,,84,,71,56,0.06844547563805105
52469734265,2026-05-09T08:18:30Z,77,,77,,74,60,0.11411411411411411
52469734264,2026-05-07T07:48:30Z,58,,58,,87,62,0.10820451843043995
