timestamp,floors,data source
2026-05-12T07:13:00Z,1,Fitbit App
2026-05-12T07:46:00Z,1,Fitbit App
2026-05-12T07:50:00Z,1,Fitbit App
2026-05-12T07:57:00Z,1,Fitbit App
2026-05-12T08:05:00Z,2,Fitbit App
2026-05-12T08:06:00Z,1,Fitbit App
2026-05-12T08:52:00Z,1,Fitbit App
2026-05-12T08:58:00Z,1,Fitbit App
2026-05-12T09:07:00Z,1,Fitbit App
2026-05-12T09:14:00Z,1,Fitbit App
2026-05-12T09:28:00Z,1,Fitbit App
2026-05-12T09:38:00Z,1,Fitbit App
2026-05-12T10:14:00Z,1,Fitbit App
2026-05-12T10:24:00Z,1,Fitbit App
2026-05-12T10:25:00Z,1,Fitbit App
2026-05-12T10:32:00Z,1,Fitbit App
2026-05-12T14:00:00Z,1,Fitbit App
2026-05-12T18:15:00Z,1,Fitbit App
2026-05-12T22:11:00Z,1,Fitbit App
2026-05-12T22:24:00Z,1,Fitbit App
2026-05-13T08:08:00Z,1,Fitbit App
2026-05-13T08:59:00Z,1,Fitbit App
2026-05-13T10:15:00Z,1,Fitbit App
2026-05-13T10:21:00Z,1,Fitbit App
2026-05-13T10:24:00Z,1,Fitbit App
2026-05-13T10:26:00Z,1,Fitbit App
2026-05-13T10:33:00Z,1,Fitbit App
2026-05-13T10:44:00Z,1,Fitbit App
2026-05-13T12:19:00Z,1,Fitbit App
2026-05-13T15:08:00Z,1,Fitbit App
2026-05-13T15:10:00Z,1,Fitbit App
2026-05-13T18:38:00Z,1,Fitbit App
2026-05-13T20:38:00Z,1,Fitbit App
2026-05-14T09:37:00Z,1,Fitbit App
2026-05-14T10:07:00Z,1,Fitbit App
2026-05-14T12:11:00Z,1,Fitbit App
2026-05-14T13:55:00Z,1,Fitbit App
2026-05-14T14:24:00Z,1,Fitbit App
2026-05-14T15:00:00Z,1,Fitbit App
2026-05-14T17:44:00Z,1,Fitbit App
2026-05-14T18:03:00Z,1,Fitbit App
