timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2026-05-09T09:11:00,15.2,1.1,16.646,15.2,1.1,16.646,15.0,1.4,13.252,16.2,1.6,6.494
2026-05-10T09:29:30,15.8,0.9,9.423,15.8,0.9,9.423,15.2,1.8,10.847,12.0,0.5,2.966
2026-05-11T07:08:30,15.8,1.2,7.79,15.8,1.2,7.79,14.8,1.8,5.178,12.0,1.2,3.058
2026-05-12T08:26:00,15.4,1.1,8.635,15.4,1.1,8.635,14.4,1.8,6.97,14.4,0.9,3.393
2026-05-13T08:45:00,15.4,1.1,6.489,15.4,1.1,6.489,14.8,1.5,9.321,14.0,0.6,2.936
2026-05-15T08:58:30,15.8,1.4,11.145,15.8,1.4,11.145,15.8,1.8,7.184,-1.0,0.0,2.499
2026-05-17T09:28:00,16.4,0.8,10.366,16.4,0.8,10.366,15.0,1.7,8.999,17.0,1.7,5.113
2026-05-18T09:36:30,15.6,1.5,9.367,15.6,1.5,9.367,15.2,2.0,5.948,-1.0,0.0,2.16
2026-05-19T12:24:30,16.8,1.2,10.615,16.8,1.2,10.615,16.2,1.5,12.541,16.0,0.5,4.438
