date_time,heart_zone_id,total_minutes
2026-05-09T21:06,FAT_BURN,1
2026-05-09T21:10,FAT_BURN,1
2026-05-09T21:11,FAT_BURN,1
2026-05-09T21:12,FAT_BURN,1
2026-05-09T21:34,FAT_BURN,1
2026-05-09T21:35,FAT_BURN,1
2026-05-09T21:36,FAT_BURN,1
2026-05-09T21:37,FAT_BURN,1
2026-05-09T21:40,FAT_BURN,1
2026-05-09T21:47,FAT_BURN,1
2026-05-09T21:53,FAT_BURN,1
2026-05-09T21:54,FAT_BURN,1
2026-05-09T21:55,FAT_BURN,1
2026-05-09T21:56,FAT_BURN,1
2026-05-09T22:02,FAT_BURN,1
2026-05-09T22:10,FAT_BURN,1
2026-05-09T22:16,FAT_BURN,1
2026-05-09T22:40,FAT_BURN,1
2026-05-09T22:43,FAT_BURN,1
2026-05-11T13:58,CARDIO,2
2026-05-11T13:59,CARDIO,2
2026-05-11T14:00,CARDIO,2
2026-05-11T14:01,CARDIO,2
2026-05-11T14:02,FAT_BURN,1
2026-05-11T14:14,FAT_BURN,1
2026-05-11T14:15,FAT_BURN,1
2026-05-11T14:16,FAT_BURN,1
2026-05-11T14:17,FAT_BURN,1
2026-05-11T14:18,FAT_BURN,1
2026-05-11T14:19,FAT_BURN,1
2026-05-11T14:20,FAT_BURN,1
2026-05-11T14:21,FAT_BURN,1
2026-05-11T14:22,FAT_BURN,1
2026-05-11T14:23,FAT_BURN,1
2026-05-11T14:24,FAT_BURN,1
2026-05-11T14:25,FAT_BURN,1
2026-05-11T14:26,FAT_BURN,1
2026-05-11T14:27,FAT_BURN,1
2026-05-11T14:28,FAT_BURN,1
2026-05-11T14:29,FAT_BURN,1
2026-05-11T14:30,FAT_BURN,1
2026-05-11T14:31,FAT_BURN,1
2026-05-11T14:32,FAT_BURN,1
2026-05-11T14:33,FAT_BURN,1
2026-05-11T14:34,CARDIO,2
2026-05-11T14:35,CARDIO,2
2026-05-11T14:36,FAT_BURN,1
2026-05-11T14:37,CARDIO,2
2026-05-11T14:38,CARDIO,2
2026-05-11T14:39,FAT_BURN,1
2026-05-11T14:40,FAT_BURN,1
